model,arch,precision,tp,users,per_user_toks,aggregate_toks,fp8_over_fp16,engine,maxlen,gentok,run_dir,date
Qwen3.5-27B,dense,fp16,4,1,43.52,43.52,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,4,2,32.63,65.27,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,4,4,33.03,132.11,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,4,8,31.82,254.54,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,2,1,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,2,2,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,2,4,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp16,2,8,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,4,1,60.86,60.86,1.40,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,4,2,48.58,97.16,1.49,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,4,4,35.22,140.91,1.07,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,4,8,22.85,182.82,0.72,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,2,1,37.24,37.24,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,2,2,27.35,54.70,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,2,4,19.60,78.38,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,fp8_w8a16,2,8,12.80,102.38,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,1,69.12,69.12,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,2,55.31,110.62,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,4,51.30,205.19,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,4,8,43.85,350.82,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,1,43.34,43.34,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,2,34.80,69.60,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,4,33.05,132.22,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-27B,dense,gptq_int4,2,8,26.71,213.74,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,4,1,75.51,75.51,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,4,2,48.14,96.29,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,4,4,37.06,148.21,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,4,8,29.91,239.35,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,2,1,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,2,2,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,2,4,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp16,2,8,,,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,1,114.95,114.95,1.52,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,2,92.94,185.87,1.93,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,4,86.02,344.06,2.32,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,4,8,62.28,498.19,2.08,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,1,100.05,100.05,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,2,69.19,138.38,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,4,61.55,246.21,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,fp8_w8a16,2,8,43.55,348.42,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,1,126.69,126.69,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,2,95.07,190.14,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,4,84.31,337.25,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,4,8,74.23,593.89,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,1,100.01,100.01,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,2,80.38,160.76,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,4,66.61,266.43,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
Qwen3.5-35B-A3B,moe_a3b,gptq_int4,2,8,52.03,416.28,,vllm019-cu126,4096,512,triad019_20260626_021116,2026-06-26
